                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1               60           414.5           667.7        0
    2               88           414.5           562.8        1
    3              116           414.5           532.6        2
    4              144           414.5           476.7        3
    5              172           414.5           460.6        4
    6              200           414.5           440.9        5
    7              228           414.5           432.4        6
    8              256           414.5           422.9        7
    9              284           414.5           414.5        8
   10              312           414.5           414.5        9
   11              340           414.5           414.5       10
   12              368           414.5           414.5       11
   13              396           414.5           414.5       12
   14              424           414.5           414.5       13
   15              452           414.5           414.5       14
   16              480           414.5           414.5       15
   17              508           414.5           414.5       16
   18              536           414.5           414.5       17
   19              564           414.5           414.5       18
   20              592           414.5           414.5       19
   21              620           414.5           414.5       20
   22              648           414.5           414.5       21
   23              676           414.5           414.5       22
   24              704           414.5           414.5       23
   25              732           414.5           414.5       24
   26              760           414.5           414.5       25
   27              788           414.5           414.5       26
   28              816           414.5           414.5       27
   29              844           414.5           414.5       28
   30              872           414.5           414.5       29
ga stopped by the output or plot function. The reason for stopping: 
Stop requested from plot function.
Optimized → Kp=902.620, Ki=205.792, Kd=940.807, N=45.7
